movieId,title,clean_title,year,genres,rating,vote_count,popularity,overview,runtime,budget,revenue,tagline,director,cast,keywords,poster_url
211672,Minions (2015),Minions,2015.0,Family|Animation|Adventure|Comedy,6.4,4571,875.581305,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",91.0,74000000,1156730962,"Before Gru, they had a history of bad bosses",Kyle Balda,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions|3d,https://image.tmdb.org/t/p/w500/211672
157336,Interstellar (2014),Interstellar,2014.0,Adventure|Drama|Science Fiction,8.1,10867,724.247784,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,169.0,165000000,675120017,Mankind was born on Earth. It was never meant to die here.,Christopher Nolan,Matthew McConaughey|Jessica Chastain|Anne Hathaway|Michael Caine|Casey Affleck,saving the world|artificial intelligence|father son relationship|single parent|nasa|expedition|wormhole|space travel|famine|black hole,https://image.tmdb.org/t/p/w500/157336
293660,Deadpool (2016),Deadpool,2016.0,Action|Adventure|Comedy,7.4,10995,514.569956,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",108.0,58000000,783112979,Witness the beginning of a happy ending,,Ryan Reynolds|Morena Baccarin|Ed Skrein|T.J. Miller|Gina Carano,anti hero|mercenary|marvel comic|superhero|based on comic book|breaking the fourth wall|aftercreditsstinger|duringcreditsstinger|self healing,https://image.tmdb.org/t/p/w500/293660
118340,Guardians of the Galaxy (2014),Guardians of the Galaxy,2014.0,Action|Science Fiction|Adventure,7.9,9742,481.098624,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",121.0,170000000,773328629,All heroes start somewhere.,,,marvel comic|spaceship|space|outer space|orphan|adventurer|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,https://image.tmdb.org/t/p/w500/118340
76341,Mad Max: Fury Road (2015),Mad Max: Fury Road,2015.0,Action|Adventure|Science Fiction|Thriller,7.2,9427,434.278564,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",120.0,150000000,378858340,What a Lovely Day.,,,future|chase|post-apocalyptic|dystopia|australia|rescue|survival|on the run|convoy|peak oil,https://image.tmdb.org/t/p/w500/76341
135397,Jurassic World (2015),Jurassic World,2015.0,Action|Adventure|Science Fiction|Thriller,6.5,8662,418.708552,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",124.0,150000000,1513528810,The park is open.,,,monster|dna|tyrannosaurus rex|velociraptor|island|sequel|suspense|disaster|escape|dinosaur,https://image.tmdb.org/t/p/w500/135397
22,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,Adventure|Fantasy|Action,7.5,6985,271.972889,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",143.0,140000000,655011224,Prepare to be blown out of the water.,,,exotic island|blacksmith|east india trading company|gold|marriage proposal|mutiny|jamaica|skeleton|daughter|governor,https://image.tmdb.org/t/p/w500/22
119450,Dawn of the Planet of the Apes (2014),Dawn of the Planet of the Apes,2014.0,Science Fiction|Action|Drama|Thriller,7.3,4410,243.791743,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",130.0,170000000,710644566,One last chance for peace.,,,leader|colony|post-apocalyptic|dystopia|forest|sequel|woods|ape|scientist|monkey,https://image.tmdb.org/t/p/w500/119450
131631,The Hunger Games: Mockingjay - Part 1 (2014),The Hunger Games: Mockingjay - Part 1,2014.0,Science Fiction|Adventure|Thriller,6.6,5584,206.227151,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,123.0,125000000,752100229,Fire burns brighter in the darkness,,,resistance|post-apocalyptic|dystopia|war|sequel|female protagonist|bow and arrow|game|future war|revolt,https://image.tmdb.org/t/p/w500/131631
177572,Big Hero 6 (2014),Big Hero 6,2014.0,Adventure|Family|Animation|Action|Comedy,7.8,6135,203.73459,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",102.0,165000000,652105443,From the creators of Wreck-it Ralph and Frozen,Chris Williams,,brother brother relationship|hero|talent|revenge|best friend|another dimension|robot|boy genius|hate|aftercreditsstinger,https://image.tmdb.org/t/p/w500/177572
